row_index,employee,text_columns_used,comment_text,positive_score,negative_score,matched_phrases,basis
1,(unknown employee),body,"Marc,

Unfortunately, today is not going to work for the revenue model for mid & 
back office services meeting.  How about this coming Monday, Feb 26 from 1:00 
- 2:30 pm?  I have penciled in that time for Sally, Mary Solmonson & James 
Scribner.  Please let me know if that will work for you.

Thanks,
Patti x39106",0,1,,negative_word_score
3,(unknown employee),body,"we were thinking papasitos (we can meet somewhere closer to you this time) 
again at around 8




Jason Bass <JBass@stdauto.com> on 02/21/2001 11:22:45 AM",0,1,,negative_word_score
4,(unknown employee),body,"Since you never gave me the $20 for the last time we bet on CU/Texas, I figured I would give you the chance to go double or nothing on the second round.  I think the line is Texas -9.  Let me know.",0,2,,negative_word_score
7,(unknown employee),body,"Please print attachment and make sure that e:mail addresses are included for 
the students.  Call Ted if any problems.  Thanks. We will need this to send 
invitations to students and Ted (plus some Enron folks) to a tour of Enron 
Field and dinner on January 31.  Let's talk about arranging details.  thanks.",0,1,,negative_word_score
9,(unknown employee),body,"The start time for Tuesday morning has been changed from 9am to 8am.  
Breakfast will be served at 7:30.  Therefore, shuttle pick up times at the 
hotel for Tuesday morning have been changed to 7:10, 7:25, and 7:40 am.  
Again, the last shuttle is not recommended if you intend to have breakfast at 
the ASE.

Some of you had asked about a coordinated dinner for Sunday night.  Since 
arrival times into Dallas vary greatly, we are leaving you to your own 
devices for Sunday night.  We are however, planning a group dinner for Monday 
night after we wrap up for the day.  We will arrange transportation from the 
ASE to the restaurant and from the restaurant back to the hotel.  Currently, 
Monday's agenda shows a completion time of 6:30pm.  Therefore, we are 
planning to head to dinner directly from the ASE without a break or trip back 
to the hotel.",0,2,,negative_word_score
26,(unknown employee),body,"I forgot to mention that if you do not buy the pkg then lift tickets are about $55/person per day.
I think we will probably just book the room and worry about the lift tickets ourselves.",0,1,,negative_word_score
30,(unknown employee),body,"Dear Team Members:

Please disregard the list from my previous e-mail.  The telephone 
numbers/majors were not sorted with the candidate names.  The following list 
contains the CORRECT contact information for our candidates.  I apoligize for 
the inconvenience.

Thank you,

lexi
3-4585",0,1,,negative_word_score
31,(unknown employee),body,"Invitations have been mailed to all VP's and above for the annual Enron 
Management Conference to be held at the Hyatt Hill Country in San Antonio 
November 15-17.  Hopefully, you have received your invitation (more to save 
the date than to provide any detail at this point).  If you have not received 
your invitation, please let me know.",0,1,,negative_word_score
34,(unknown employee),body,"Please find the interview packet for the above-referenced candidate.  The 
interview will occur on Wednesday January 17, 2001.  Please print all 
documents for your reference.  A hardcopy of the resume will be delivered via 
runner.  If you have any questions, or conflicts of schedule, please do not 
hesitate to contact me.






Shawn Grady
58701",0,1,,negative_word_score
35,(unknown employee),body,"Lloyd, Don and I would like to see the following background for the positions of hourly and scheduling desk.  
 
Experience:  0-2 years of work experience preferably in a position with daily customer contact.
 
Communication Skills:  Must exhibit effective communication skills within the power group and to our outside customers.    
 
Education:  Economics, Marketing, Finance Degree.
 
Competiveness:  Motivated, competitive, and team-oriented people who handle stress well work best in this group. High School or College Athletes generally work well in our group.
 
Detail Oriented:  Strong analytical skills required for highly detailed documentation for tracking and scheduling trades.  
 
Shift Work:  12-Hour shifts, both days and nights.",0,1,,negative_word_score
